fin_version;fin_scenario;0calmonth;key_rate;loan_rate;low_rate;upper_rate;;
FRC;OPTM;203304;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203305;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203306;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203307;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203308;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203309;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203310;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203311;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203312;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203401;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203402;0.04;0.0956;0.038;0.088908;;
