fin_version,fin_scenario,fin_doc_num,0date,key_rate,spread,fix_rate,balance,loan,payment,balance_at_date,commissions_paid,commissions_received,rate,avg_balance,interest_accrued,ifrs_scope,paid_interest,impairment_stage,loan_reserve_ratio,loan_reserve,norev_cl_reserve_ratio,norev_cl_reserve,losses_prev_periods,change_loan_reserve,change_norev_cl_reserve,rw_loan,rwa_loan,rw_norev_credit_line,rwa_norev_credit_line,fin_leverage_loan_ratio,fin_leverage_loan,fin_leverage_norev_credit_line_ratio,fin_leverage_norev_credit_line
FCT,#,D0001,20260114,0.16,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.17,12059569394.38,5616785.75,12085438930.25,0.0,1.0,0.0633,765008284.28,0.03165,90219100.01,,355542.5376791954,0.0,1.1,12452473710.563057,0.5,1380152693.4157572,1.0,11320430645.966412,0.5,1380152693.4157572
FCT,#,D0001,20260303,0.16,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.17,12059569394.38,5616785.75,11973750797.63,0.0,1.0,0.0633,757938425.49,0.03165,90219100.01,,355542.5376793146,0.0,1.1,12337393609.350985,0.5,1380152693.4157572,1.0,11215812372.137257,0.5,1380152693.4157572
FCT,#,D0001,20260123,0.16,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.17,12059569394.38,5616785.75,12135990001.96,0.0,1.0,0.0633,768208167.12,0.03165,90219100.01,,355542.5376791954,0.0,1.1,12504560018.318775,0.5,1380152693.4157572,1.0,11367781834.835249,0.5,1380152693.4157572
FCT,#,D0001,20260224,0.16,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.17,12059569394.38,5616785.75,12115386310.21,0.0,1.0,0.0633,766903953.44,0.03165,90219100.01,,355542.5376793146,0.0,1.1,12483330592.450829,0.5,1380152693.4157572,1.0,11348482356.773478,0.5,1380152693.4157572
FCT,#,D0001,20250425,0.21,0.01,0.0,4246527388.0,0.0,0.0,4246527388.0,0.0,,0.22,4246527388.0,2559550.75,4270166976.62,0.0,1.0,0.0633,270301569.62,0.03165,340347408.17,,162019.5627542138,0.0,1.1,4399851947.700515,0.5,5206562601.9151,1.0,3999865407.0004673,0.5,5206562601.9151
FCT,#,D0001,20250613,0.2,0.01,0.0,7974259568.39,0.0,0.0,7974259568.39,0.0,,0.21,7974259568.39,4587930.16,8045969755.79,0.0,1.0,0.0633,509309885.54,0.03165,222364684.66,,290415.9792948365,0.0,1.1,8290325857.275733,0.5,3401687873.474772,1.0,7536659870.250666,0.5,3401687873.474772
FCT,#,D0001,20260528,0.15,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.16,12059569394.38,5286386.58,12244559166.31,0.0,1.0,0.0633,775080595.23,0.03165,90219100.01,,334628.2707569599,0.0,1.1,12616426428.186104,0.5,1380152693.4157572,1.0,11469478571.078276,0.5,1380152693.4157572
FCT,#,D0001,20260419,0.15,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.16,12059569394.38,5286386.58,12038390089.54,0.0,1.0,0.0633,762030092.67,0.03165,90219100.01,,334628.2707569599,0.0,1.1,12403995996.554935,0.5,1380152693.4157572,1.0,11276359996.868122,0.5,1380152693.4157572
FCT,#,D0001,20250522,0.21,0.01,0.0,5799996516.39,239329255.0,0.0,6039325771.39,0.0,,0.22,5919661143.89,3640141.56,6115306791.8,0.0,1.0,0.0633,387098919.92,0.03165,283605339.34,,15379962.80230099,-7574770.920750022,1.1,6301028659.071451,0.5,4338534444.637247,1.0,5728207871.883137,0.5,4338534444.637247
FCT,#,D0001,20260410,0.15,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.16,12059569394.38,5286386.58,11990812610.28,0.0,1.0,0.0633,759018438.23,0.03165,90219100.01,,334628.2707569599,0.0,1.1,12354973589.255436,0.5,1380152693.4157572,1.0,11231794172.050396,0.5,1380152693.4157572
FCT,#,D0001,20250515,0.21,0.01,0.0,5786035948.1,13960568.29,0.0,5799996516.39,0.0,,0.22,5793016232.25,3495888.31,5851362065.38,0.0,1.0,0.0633,370391218.74,0.03165,291180110.26,,1104993.702859044,-441851.9863784909,1.1,6029067931.301492,0.5,4454411686.676871,1.0,5480970846.637719,0.5,4454411686.676871
FCT,#,D0001,20250620,0.2,0.01,0.0,8319033309.39,0.0,0.0,8319033309.39,0.0,,0.21,8319033309.39,4786293.14,8423255733.88,0.0,1.0,0.0633,533192087.95,0.03165,211452595.76,,302972.3555663824,0.0,1.1,8679070010.517231,0.5,3234757047.426097,1.0,7890063645.924754,0.5,3234757047.426097
FCT,#,D0001,20260505,0.15,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.16,12059569394.38,5286386.58,12122972274.88,0.0,1.0,0.0633,767384145.0,0.03165,90219100.01,,334628.2707570791,0.0,1.1,12491146942.865158,0.5,1380152693.4157572,1.0,11355588129.877417,0.5,1380152693.4157572
FCT,#,D0001,20260506,0.15,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.16,12059569394.38,5286386.58,12128258661.46,0.0,1.0,0.0633,767718773.27,0.03165,90219100.01,,334628.2707568407,0.0,1.1,12496593877.00955,0.5,1380152693.4157572,1.0,11360539888.190498,0.5,1380152693.4157572
FCT,#,D0001,20250623,0.2,0.01,0.0,8319033309.39,0.0,0.0,8319033309.39,0.0,,0.21,8319033309.39,4786293.14,8437614613.29,0.0,1.0,0.0633,534101005.02,0.03165,211452595.76,,302972.3555663824,0.0,1.1,8693864969.095663,0.5,3234757047.426097,1.0,7903513608.268784,0.5,3234757047.426097
FCT,#,D0001,20260409,0.15,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.16,12059569394.38,5286386.58,11985526223.7,0.0,1.0,0.0633,758683809.96,0.03165,90219100.01,,334628.2707569599,0.0,1.1,12349526655.111044,0.5,1380152693.4157572,1.0,11226842413.737312,0.5,1380152693.4157572
FCT,#,D0001,20250512,0.21,0.01,0.0,5786035948.1,0.0,0.0,5786035948.1,0.0,,0.22,5786035948.1,3487473.72,5826930661.33,0.0,1.0,0.0633,368844710.86,0.03165,291621962.24,,220757.08661162853,0.0,1.1,6003894545.515095,0.5,4461171044.828682,1.0,5458085950.468267,0.5,4461171044.828682
FCT,#,D0001,20260416,0.15,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.16,12059569394.38,5286386.58,12022530929.78,0.0,1.0,0.0633,761026207.86,0.03165,90219100.01,,334628.2707570791,0.0,1.1,12387655194.121769,0.5,1380152693.4157572,1.0,11261504721.92888,0.5,1380152693.4157572
FCT,#,D0001,20250521,0.21,0.01,0.0,5799996516.39,0.0,0.0,5799996516.39,0.0,,0.22,5799996516.39,3495888.31,5872337395.24,0.0,1.0,0.0633,371718957.12,0.03165,291180110.26,,221289.73010206225,0.0,1.1,6050680281.93706,0.5,4454411686.676872,1.0,5500618438.124599,0.5,4454411686.676872
FCT,#,D0001,20260604,0.15,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.16,12059569394.38,5286386.58,12281563872.39,0.0,1.0,0.0633,777422993.12,0.03165,90219100.01,,334628.2707568407,0.0,1.1,12654554967.196829,0.5,1380152693.4157572,1.0,11504140879.269842,0.5,1380152693.4157572
FCT,#,D0001,20250426,0.21,0.01,0.0,4246527388.0,0.0,0.0,4246527388.0,0.0,,0.22,4246527388.0,2559550.75,4272726527.37,0.0,1.0,0.0633,270463589.18,0.03165,340347408.17,,162019.5627542138,0.0,1.1,4402489232.011336,0.5,5206562601.9151,1.0,4002262938.1921234,0.5,5206562601.9151
FCT,#,D0001,20260531,0.15,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.16,12059569394.38,5286386.58,12260418326.06,0.0,1.0,0.0633,776084480.04,0.03165,90219100.01,,334628.2707569599,0.0,1.1,12632767230.619272,0.5,1380152693.4157572,1.0,11484333846.01752,0.5,1380152693.4157572
FCT,#,D0001,20250614,0.2,0.01,0.0,7974259568.39,0.0,0.0,7974259568.39,0.0,,0.21,7974259568.39,4587930.16,8050557685.95,0.0,1.0,0.0633,509600301.52,0.03165,222364684.66,,290415.9792947769,0.0,1.1,8295053122.877408,0.5,3401687873.474772,1.0,7540957384.434007,0.5,3401687873.474772
FCT,#,D0001,20251216,0.17,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.18,12059569394.38,5947184.91,12121433702.73,0.0,1.0,0.0633,767286753.38,0.03165,90219100.01,,376456.8046016693,0.0,1.1,12489561644.281263,0.5,1380152693.4157572,1.0,11354146949.3466,0.5,1380152693.4157572
FCT,#,D0001,20251004,0.17,0.01,0.0,12149475513.16,0.0,0.0,12149475513.16,0.0,,0.18,12149475513.16,5991522.17,12191953386.2,0.0,1.0,0.0633,771750649.35,0.03165,90219100.01,,379263.35341632366,0.0,1.1,12562223010.543306,0.5,1380152693.4157572,1.0,11420202736.85755,0.5,1380152693.4157572
FCT,#,D0001,20251111,0.17,0.01,0.0,12149475513.16,0.0,0.0,12149475513.16,0.0,,0.18,12149475513.16,5991522.17,12207478085.8,0.0,1.0,0.0633,772733362.83,0.03165,90219100.01,,379263.35341632366,0.0,1.1,12578219195.26314,0.5,1380152693.4157572,1.0,11434744722.96649,0.5,1380152693.4157572
FCT,#,D0001,20251118,0.17,0.01,0.0,12149475513.16,0.0,0.0,12149475513.16,0.0,,0.18,12149475513.16,5991522.17,12249418740.99,0.0,1.0,0.0633,775388206.3,0.03165,90219100.01,,379263.35341620445,0.0,1.1,12621433588.157562,0.5,1380152693.4157572,1.0,11474030534.688692,0.5,1380152693.4157572
FCT,#,D0001,20251209,0.17,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.18,12059569394.38,5947184.91,12079803408.38,0.0,1.0,0.0633,764651555.75,0.03165,90219100.01,,376456.8046015501,0.0,1.1,12446667037.8942,0.5,1380152693.4157572,1.0,11315151852.63109,0.5,1380152693.4157572
FCT,#,D0001,20251029,0.17,0.01,0.0,12149475513.16,0.0,0.0,12149475513.16,0.0,,0.18,12149475513.16,5991522.17,12341741440.48,0.0,1.0,0.0633,781232233.18,0.03165,90219100.01,,379263.35341632366,0.0,1.1,12716560128.023376,0.5,1380152693.4157572,1.0,11560509207.293978,0.5,1380152693.4157572
FCT,#,D0001,20251210,0.17,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.18,12059569394.38,5947184.91,12085750593.29,0.0,1.0,0.0633,765028012.56,0.03165,90219100.01,,376456.8046015501,0.0,1.1,12452794838.806637,0.5,1380152693.4157572,1.0,11320722580.733303,0.5,1380152693.4157572
FCT,#,D0001,20251030,0.17,0.01,0.0,12149475513.16,0.0,0.0,12149475513.16,0.0,,0.18,12149475513.16,5991522.17,12347732962.65,0.0,1.0,0.0633,781611496.54,0.03165,90219100.01,,379263.35341632366,0.0,1.1,12722733612.72258,0.5,1380152693.4157572,1.0,11566121466.111437,0.5,1380152693.4157572
FCT,#,D0001,20251108,0.17,0.01,0.0,12149475513.16,0.0,0.0,12149475513.16,0.0,,0.18,12149475513.16,5991522.17,12189503519.28,0.0,1.0,0.0633,771595572.77,0.03165,90219100.01,,379263.35341620445,0.0,1.1,12559698741.165531,0.5,1380152693.4157572,1.0,11417907946.51412,0.5,1380152693.4157572
